Designator,Mid X,Mid Y,Rotation,Layer
C1,42.5,-22.75,180.0,top
C13,31.0,-7.5,0.0,top
C15,31.5,-40.425,0.0,top
C16,10.0,-29.5,0.0,top
C17,16.0,-27.5,90.0,top
C18,40.0,-34.0,90.0,top
C2,25.5,-35.5,0.0,top
C3,10.8,-46.75,180.0,top
C4,10.225,-4.5,180.0,top
C7,14.75,-40.5,270.0,top
D1,19.5,-35.0,0.0,top
D2,39.0,-15.5,180.0,top
D3,44.0,-33.5,180.0,top
F1,18.5,-40.425,0.0,top
F2,39.5,-30.5,180.0,top
J1,22.5,-47.605,0.0,top
J2,3.5,-36.5,270.0,top
J3,42.79,-40.57,0.0,top
J4,8.8,-24.0,0.0,top
R1,23.5,-40.425,0.0,top
R10,10.0,-32.5,0.0,top
R11,10.25,-7.5,180.0,top
R12,33.27,-25.05,0.0,top
R2,27.5,-40.425,0.0,top
R3,31.0,-11.5,0.0,top
R4,34.0,-15.5,0.0,top
R7,8.5,-38.5,180.0,top
R8,7.825,-19.0,0.0,top
SW1,41.09,-7.61,0.0,top
SW2,50.56,-7.63,0.0,top
U1,20.0,-6.35,0.0,top
U2,11.5,-36.5,90.0,top
U3,13.5,-31.35,90.0,top
U4,32.5,-33.0,180.0,top
U5,22.995,-24.0,180.0,top
